,	GeoArea_FIPS	GeoArea_Name	Date	Published_Value
510	37061	Duplin, NC	01-01-19	1897192.38
511	37061	Duplin, NC	01-01-20	1961995.85
512	37061	Duplin, NC	02-01-19	1638952.83
513	37061	Duplin, NC	02-01-20	1636457.23
514	37061	Duplin, NC	03-01-19	1880336.33
515	37061	Duplin, NC	04-01-19	1955587.24
516	37061	Duplin, NC	05-01-19	1931597.93
517	37061	Duplin, NC	06-01-19	1908637.84
518	37061	Duplin, NC	07-01-19	1924282.69
519	37061	Duplin, NC	08-01-19	1768284.05
520	37061	Duplin, NC	09-01-19	1755926.93
521	37061	Duplin, NC	10-01-18	1569746.99
522	37061	Duplin, NC	10-01-19	1739366.27
523	37061	Duplin, NC	11-01-18	1836351.52
524	37061	Duplin, NC	11-01-19	1764832.37
525	37061	Duplin, NC	12-01-18	1905667.59
526	37061	Duplin, NC	12-01-19	1699907.9
527	37063	Durham, NC	01-01-19	33726344.0
528	37063	Durham, NC	01-01-20	36329047.71
529	37063	Durham, NC	02-01-19	28827684.03
530	37063	Durham, NC	02-01-20	30573519.3
531	37063	Durham, NC	03-01-19	28268553.58
532	37063	Durham, NC	04-01-19	33123460.92
533	37063	Durham, NC	05-01-19	31374609.99
534	37063	Durham, NC	06-01-19	32397607.95
535	37063	Durham, NC	07-01-19	33416381.7
536	37063	Durham, NC	08-01-19	31338015.21
537	37063	Durham, NC	09-01-19	32295944.76
538	37063	Durham, NC	10-01-18	29891420.52
539	37063	Durham, NC	10-01-19	33786038.23
540	37063	Durham, NC	11-01-18	31566395.94
541	37063	Durham, NC	11-01-19	33171859.38
542	37063	Durham, NC	12-01-18	30951469.81
543	37063	Durham, NC	12-01-19	32522116.55
544	37065	Edgecombe, NC	01-01-19	2067744.22
545	37065	Edgecombe, NC	01-01-20	2853346.33
546	37065	Edgecombe, NC	02-01-19	1399727.87
547	37065	Edgecombe, NC	02-01-20	2396949.68
548	37065	Edgecombe, NC	03-01-19	1489431.45
549	37065	Edgecombe, NC	04-01-19	1886337.29
550	37065	Edgecombe, NC	05-01-19	1717416.19
551	37065	Edgecombe, NC	06-01-19	2585075.37
552	37065	Edgecombe, NC	07-01-19	2750908.56
553	37065	Edgecombe, NC	08-01-19	2558432.34
554	37065	Edgecombe, NC	09-01-19	2472882.9
555	37065	Edgecombe, NC	10-01-18	1545019.39
556	37065	Edgecombe, NC	10-01-19	2453926.49
557	37065	Edgecombe, NC	11-01-18	1684116.38
