	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
16281	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Other services (except government and government enterprises)	2009	3076.0
16282	37095	FIPS_37095	Hyde County	Northeast	Northeastern	Government and government enterprises	2009	43348.0
16283	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Agriculture, forestry, fishing and hunting	2009	4055.0
16284	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Mining, quarrying, and oil and gas extraction	2009	3802.0
16285	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Utilities	2009	20214.0
16286	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Construction	2009	262616.0
16287	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Manufacturing	2009	1406505.0
16288	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Wholesale trade	2009	367918.0
16289	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Retail trade	2009	389562.0
16290	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Transportation and warehousing	2009	101862.0
16291	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Information	2009	50848.0
16292	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Real estate and rental and leasing	2009	599166.0
16293	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Professional and business services	2009	713724.0
16294	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Management of companies and enterprises	2009	355793.0
16295	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Administrative and support and waste management and remediation services	2009	160650.0
16296	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Educational services	2009	38624.0
16297	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Health care and social assistance	2009	395729.0
16298	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Arts, entertainment, and recreation	2009	280592.0
16299	37097	FIPS_37097	Iredell County	Southwest	Centralina	   Accommodation and food services	2009	144632.0
16300	37097	FIPS_37097	Iredell County	Southwest	Centralina	  Other services (except government and government enterprises)	2009	157038.0
16301	37097	FIPS_37097	Iredell County	Southwest	Centralina	Government and government enterprises	2009	575455.0
16302	37099	FIPS_37099	Jackson County	Western	Southwestern	  Agriculture, forestry, fishing and hunting	2009	13597.0
16303	37099	FIPS_37099	Jackson County	Western	Southwestern	  Mining, quarrying, and oil and gas extraction	2009	1818.0
16304	37099	FIPS_37099	Jackson County	Western	Southwestern	  Utilities	2009	
16305	37099	FIPS_37099	Jackson County	Western	Southwestern	  Construction	2009	54909.0
16306	37099	FIPS_37099	Jackson County	Western	Southwestern	  Manufacturing	2009	40310.0
16307	37099	FIPS_37099	Jackson County	Western	Southwestern	  Wholesale trade	2009	
16308	37099	FIPS_37099	Jackson County	Western	Southwestern	  Retail trade	2009	66319.0
16309	37099	FIPS_37099	Jackson County	Western	Southwestern	  Transportation and warehousing	2009	11227.0
16310	37099	FIPS_37099	Jackson County	Western	Southwestern	  Information	2009	13150.0
16311	37099	FIPS_37099	Jackson County	Western	Southwestern	   Real estate and rental and leasing	2009	173536.0
16312	37099	FIPS_37099	Jackson County	Western	Southwestern	  Professional and business services	2009	98251.0
16313	37099	FIPS_37099	Jackson County	Western	Southwestern	   Management of companies and enterprises	2009	
16314	37099	FIPS_37099	Jackson County	Western	Southwestern	   Administrative and support and waste management and remediation services	2009	32712.0
16315	37099	FIPS_37099	Jackson County	Western	Southwestern	   Educational services	2009	3038.0
16316	37099	FIPS_37099	Jackson County	Western	Southwestern	   Health care and social assistance	2009	109596.0
16317	37099	FIPS_37099	Jackson County	Western	Southwestern	   Arts, entertainment, and recreation	2009	28815.0
16318	37099	FIPS_37099	Jackson County	Western	Southwestern	   Accommodation and food services	2009	48703.0
16319	37099	FIPS_37099	Jackson County	Western	Southwestern	  Other services (except government and government enterprises)	2009	30706.0
16320	37099	FIPS_37099	Jackson County	Western	Southwestern	Government and government enterprises	2009	347994.0
16321	37101	FIPS_37101	Johnston County	North Central		  Agriculture, forestry, fishing and hunting	2009	101171.0
16322	37101	FIPS_37101	Johnston County	North Central		  Mining, quarrying, and oil and gas extraction	2009	7967.0
16323	37101	FIPS_37101	Johnston County	North Central		  Utilities	2009	9678.0
16324	37101	FIPS_37101	Johnston County	North Central		  Construction	2009	232459.0
16325	37101	FIPS_37101	Johnston County	North Central		  Manufacturing	2009	1257690.0
16326	37101	FIPS_37101	Johnston County	North Central		  Wholesale trade	2009	207538.0
16327	37101	FIPS_37101	Johnston County	North Central		  Retail trade	2009	297578.0
16328	37101	FIPS_37101	Johnston County	North Central		  Transportation and warehousing	2009	90844.0
16329	37101	FIPS_37101	Johnston County	North Central		  Information	2009	31794.0
16330	37101	FIPS_37101	Johnston County	North Central		   Real estate and rental and leasing	2009	486953.0
16331	37101	FIPS_37101	Johnston County	North Central		  Professional and business services	2009	227605.0
